"title","company","description","stipend","requirements","contact_method","label"
"Data Science Intern","Ola","We have an opening for a Data Science Intern in our R&D division. You will work on cutting-edge IoT platforms projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Kubernetes and HTML/CSS required.","₹8,000/month","Graduate or postgraduate in MBA. Experience with Kubernetes preferred. Ability to work in a team and meet deadlines.","University placement portal","0"
"Quantitative Research Intern","Flipkart","Join us as a Quantitative Research Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on developer tools. Proficiency in GCP and HTML/CSS is essential. Duration: 2 months.","₹10,000/month","Engineering student with knowledge of GCP, HTML/CSS. Available for full-time internship of 3-6 months.","talent@company.com","0"
"Online Reselling Business Intern","PrimePath Consulting","Join our team and earn ₹50,000 monthly! Pay ₹1,500 registration fee and start working today. No skills needed, training provided free. This offer is valid for limited seats only – apply now!","₹50,000/month","Basic English knowledge","WhatsApp only","1"
"Virtual Assistant – Immediate Start","ZenithPlacement Services","Great opportunity for students! Earn ₹60,000/month. Work is simple and can be done on mobile phone. Pay ₹2,500 to join. We have placed 10000+ students in top companies.","₹60,000/month","Must be willing to pay registration fee","WhatsApp/Telegram","1"
"Software Engineering Intern","HCL Technologies","Join our team as a Software Engineering Intern. You will work closely with the Marketing team on projects involving microservices architecture. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹16,000/month","Graduate or postgraduate in Information Technology. Experience with Pandas preferred. Ability to work in a team and meet deadlines.","University placement portal","0"
"Virtual Assistant – Immediate Start","TopNotch Placements","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹50,000/month credited directly to your account.","₹50,000/month","Smartphone with internet connection","WhatsApp/Telegram","1"
"Easy Copy-Paste Job","DigiWork India","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹45,000/month. No fixed salary but unlimited potential!","₹45,000/month","Ability to use WhatsApp","Telegram group","1"
"Social Media Promoter","CareerBoost Academy","Hiring interns for social media work. Stipend ₹50,000/month. To reserve your seat, pay ₹1,999 enrollment fee via UPI. Limited spots available – hurry up!","₹50,000/month","Age 16 and above","WhatsApp only","1"
"Virtual Assistant – Immediate Start","DigiWork India","Internship available. Work from home. Earn well. Contact us on WhatsApp for more details. Stipend ₹50,000/month. Small fee of ₹2,500 for registration. Hurry, spots filling fast!","₹50,000/month","Class 10 pass or above","Facebook Messenger","1"
"Easy Copy-Paste Job","InfoGain Services","We are a leading company looking for interns. Good pay of ₹60,000/month. Easy work. Apply now by sending ₹3,000 to our UPI. We will contact you with details after payment.","₹60,000/month","No resume or interview needed","WhatsApp/Telegram","1"
"Quantitative Research Intern","JP Morgan India","As a Quantitative Research Intern, you will analyze business data using PostgreSQL and React, create dashboards, and present findings to the management team. This is a 2-month internship with exposure to real-world business problems.","₹11,000/month","Any degree with strong aptitude for PostgreSQL and React. Portfolio or GitHub profile with relevant projects is a plus.","recruitment@company.com","0"
"UI/UX Design Intern","Byju's","As a UI/UX Design Intern, you will analyze business data using Pandas and Redis, create dashboards, and present findings to the management team. This is a 2-month internship with exposure to real-world business problems.","₹16,000/month","Currently pursuing B.Tech/B.E. in Mass Communication. Proficiency in Pandas and Redis. Good problem-solving skills.","hiring@company.com","0"
"IoT Intern","Ola","We have an opening for a IoT Intern in our R&D division. You will work on cutting-edge financial modeling projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in TypeScript and R required.","₹7,000/month","B.Tech/M.Tech student in Commerce with knowledge of TypeScript, R, and C++. CGPA 7.0 or above preferred.","hr@company.com","0"
"Guaranteed Placement Intern","AlphaHire Digital","Internship available. Work from home. Earn well. Contact us on WhatsApp for more details. Stipend ₹60,000/month. Small fee of ₹299 for registration. Hurry, spots filling fast!","₹60,000/month","Smartphone with internet connection","WhatsApp only","1"
"Mobile App Testing Intern (No Skills Needed)","DigiWork India","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹100,000/month credited directly to your account.","₹100,000/month","Age 16 and above","Facebook Messenger","1"
"Instagram Influencer Intern","ClickEarn Solutions","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹50,000/month credited directly to your account.","₹50,000/month","Must share ID proof for verification","Telegram channel","1"
"Virtual Assistant – Immediate Start","QuickHire Consultancy","Work from anywhere in the world and earn ₹45,000/month. We provide all equipment and training. Just pay ₹999 for shipping of your work kit. Start within 48 hours of payment.","₹45,000/month","No resume or interview needed","Telegram group","1"
"Human Resources Intern","Deloitte India","As a Human Resources Intern, you will analyze business data using Node.js and Spring Boot, create dashboards, and present findings to the management team. This is a 3-month internship with exposure to real-world business problems.","₹18,000/month","Engineering student with knowledge of Node.js, Spring Boot. Available for full-time internship of 3-6 months.","Apply via company careers portal","0"
"Affiliate Marketing Trainee","MegaSuccess Corp","Exciting MLM business internship! Invest ₹500 and start earning through our multi-level referral program. Top earners make ₹80,000/month. Be your own boss!","₹80,000/month","Basic English knowledge","WhatsApp only","1"
"Telegram Channel Manager","ZenithPlacement Services","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹45,000/month credited directly to your account.","₹45,000/month","No skills required – training provided","WhatsApp group link","1"
"Supply Chain Intern","Mahindra & Mahindra","Looking for a Supply Chain Intern to support our Operations team. The intern will help with digital marketing campaigns, coordinate with internal teams, and contribute to process improvements. Duration: 3 months with a monthly stipend.","₹14,000/month","Currently pursuing B.Tech/B.E. in Information Technology. Proficiency in Airflow and Flask. Good problem-solving skills.","Apply on Internshala","0"
"Online Reselling Business Intern","PrimePath Consulting","Congratulations! You've been selected for our premium internship. Share your personal documents including Aadhaar, PAN, and passport photo via WhatsApp for immediate joining. Earn ₹50,000/month.","₹50,000/month","Class 10 pass or above","Send DM on Instagram","1"
"Product Management Intern","Microsoft India","Exciting internship opportunity as a Product Management Intern! Work on logistics and supply chain with our research team. You will develop prototypes, analyze results, and present findings. This 2-month program is ideal for students passionate about innovation.","₹16,000/month","B.Tech/M.Tech student in Mass Communication with knowledge of JavaScript, Go, and GCP. CGPA 7.0 or above preferred.","careers@company.com","0"
"Machine Learning Intern","MakeMyTrip","We are hiring a Machine Learning Intern for our Bangalore office. The role involves working on microservices architecture using Power BI, GCP, and Git. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹7,000/month","Currently pursuing B.Tech/B.E. in Mass Communication. Proficiency in Power BI and GCP. Good problem-solving skills.","Apply on LinkedIn Jobs","0"
"Mobile App Developer Intern","Tech Mahindra","We are hiring a Mobile App Developer Intern for our Remote office. The role involves working on recommendation systems using AWS, Redis, and Power BI. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹5,000/month","Pursuing B.Tech/BCA/MCA in Mechanical Engineering. Hands-on experience with AWS and Redis. Strong analytical thinking.","recruitment@company.com","0"
"Database Administrator Intern","Bosch India","Join our Engineering team as a Database Administrator Intern. During this 2-month internship, you will design, develop, and test features for our payment system. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹5,000/month","B.Tech/M.Tech student in Electrical Engineering with knowledge of Flask, Django, and Java. CGPA 7.0 or above preferred.","recruitment@company.com","0"
"Database Administrator Intern","Paytm","We are looking for a Database Administrator Intern to work on data analysis and visualization projects. You will use Excel and Sketch to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 4 months.","₹20,000/month","Any degree with strong aptitude for Excel and Sketch. Portfolio or GitHub profile with relevant projects is a plus.","Company official website","0"
"Online Reselling Business Intern","ProStart Global","Work from home opportunity! Earn ₹75,000/month doing simple copy-paste tasks. One-time processing fee of ₹2,500 applicable. 100% genuine opportunity with money-back guarantee.","₹75,000/month","Must share ID proof for verification","Telegram group","1"
"Online Reselling Business Intern","InfoGain Services","Guaranteed placement after internship! Earn ₹75,000 per month during training. Pay ₹1,999 as course material fee. Certificate provided. Companies like Google and Amazon hire from our program.","₹75,000/month","No resume or interview needed","Facebook Messenger","1"
"Content Writing Intern","Wipro","We are hiring a Content Writing Intern for our Delhi NCR office. The role involves working on healthcare analytics using Rust, Redis, and Photoshop. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹8,000/month","Graduate or postgraduate in Statistics. Experience with Rust preferred. Ability to work in a team and meet deadlines.","Apply via Naukri.com","0"
"Easy Copy-Paste Job","AlphaHire Digital","URGENT: Last 3 seats remaining for our internship program! Stipend ₹30,000/month. Registration closes in 24 hours. Pay ₹199 now to confirm your spot. Don't think – just apply!","₹30,000/month","Smartphone with internet connection","WhatsApp only","1"
"Video Editing Intern","IISc Bangalore","Seeking a Video Editing Intern for a 6-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with GCP and Django in a fast-paced environment.","₹11,000/month","B.Tech/M.Tech student in Commerce with knowledge of GCP, Django, and Spark. CGPA 7.0 or above preferred.","Apply on Internshala","0"
"Network Marketing Associate","GoldenGate Careers","Join our team and earn ₹45,000 monthly! Pay ₹500 registration fee and start working today. No skills needed, training provided free. This offer is valid for limited seats only – apply now!","₹45,000/month","Must have UPI or bank account","Telegram channel","1"
"Operations Intern","IISc Bangalore","Looking for a Operations Intern to support our Research team. The intern will help with HR operations, coordinate with internal teams, and contribute to process improvements. Duration: 3 months with a monthly stipend.","₹15,000/month","Pursuing B.Tech/BCA/MCA in Design. Hands-on experience with MongoDB and C++. Strong analytical thinking.","talent@company.com","0"
"Database Administrator Intern","Goldman Sachs India","We are looking for a motivated Database Administrator Intern to join our engineering team for a 6-month internship. You will work on social media analytics projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in Java and Kubernetes are expected.","₹18,000/month","Any degree with strong aptitude for Java and Kubernetes. Portfolio or GitHub profile with relevant projects is a plus.","Apply through campus placement cell","0"
"IoT Intern","Zoho","We have an opening for a IoT Intern in our R&D division. You will work on cutting-edge e-commerce platforms projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Java and Vue.js required.","₹9,000/month","B.Tech/M.Tech student in Electrical Engineering with knowledge of Java, Vue.js, and Swift. CGPA 7.0 or above preferred.","hiring@company.com","0"
"Graphic Design Intern","Uber India","We have an opening for a Graphic Design Intern in our R&D division. You will work on cutting-edge e-commerce platforms projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Linux and GraphQL required.","₹18,000/month","B.Tech/M.Tech student in Mass Communication with knowledge of Linux, GraphQL, and Airflow. CGPA 7.0 or above preferred.","talent@company.com","0"
"Instagram Influencer Intern","DigiWork India","Earn ₹60,000 per month working just 1 hour daily! Our AI-powered platform assigns tasks automatically. No skills required. Pay ₹5,000 for platform access and start earning today.","₹60,000/month","Class 10 pass or above","SMS only","1"
"IoT Intern","Ola","Join our team as a IoT Intern. You will work closely with the Research team on projects involving search optimization. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹7,000/month","Pursuing B.Tech/BCA/MCA in Information Technology. Hands-on experience with Spark and Kotlin. Strong analytical thinking.","Apply through campus placement cell","0"
"Graphic Design Intern","Accenture India","Looking for a Graphic Design Intern to support our Design team. The intern will help with HR operations, coordinate with internal teams, and contribute to process improvements. Duration: 2 months with a monthly stipend.","₹9,000/month","B.Sc/M.Sc in Design. Research experience in Vue.js is preferred. Strong written and verbal communication.","University placement portal","0"
"Business Analyst Intern","Flipkart","Seeking a Business Analyst Intern for a 2-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Adobe XD and Linux in a fast-paced environment.","₹5,000/month","Pursuing B.Tech/BCA/MCA in Electronics. Hands-on experience with Adobe XD and Linux. Strong analytical thinking.","Apply on AngelList","0"
"DevOps Intern","Uber India","Join our team as a DevOps Intern. You will work closely with the Human Resources team on projects involving customer experience. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹16,000/month","Final year or pre-final year student in Mass Communication. Must know Kotlin and MongoDB. Excellent communication skills required.","talent@company.com","0"
"Business Analyst Intern","Unacademy","Looking for a Business Analyst Intern to support our Marketing team. The intern will help with computer vision, coordinate with internal teams, and contribute to process improvements. Duration: 4 months with a monthly stipend.","₹5,000/month","B.Sc/M.Sc in Statistics. Research experience in React Native is preferred. Strong written and verbal communication.","University placement portal","0"
"Survey Filling Executive","QuickHire Consultancy","URGENT: Last 3 seats remaining for our internship program! Stipend ₹40,000/month. Registration closes in 24 hours. Pay ₹2,500 now to confirm your spot. Don't think – just apply!","₹40,000/month","Must have UPI or bank account","Personal Gmail","1"
"Software Engineering Intern","Morgan Stanley India","We are hiring a Software Engineering Intern for our Mumbai office. The role involves working on enterprise SaaS using MATLAB, Excel, and Tableau. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹5,000/month","Engineering student with knowledge of MATLAB, Excel. Available for full-time internship of 3-6 months.","Apply on AngelList","0"
"Online Reselling Business Intern","AlphaHire Digital","Urgent hiring for online typing jobs! Salary ₹40,000/month. Small registration fee of ₹2,500 to cover admin costs. Thousands of students already earning. Don't miss this chance!","₹40,000/month","Just need a smartphone","Facebook Messenger","1"
"Technical Writer Intern","Siemens India","As a Technical Writer Intern, you will analyze business data using R and Adobe XD, create dashboards, and present findings to the management team. This is a 3-month internship with exposure to real-world business problems.","₹9,000/month","Engineering student with knowledge of R, Adobe XD. Available for full-time internship of 3-6 months.","LinkedIn application","0"
"Financial Analyst Intern","DRDO","We are hiring a Financial Analyst Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using Java and Kubernetes. A strong portfolio demonstrating your design thinking process is required.","₹16,000/month","Pursuing B.Tech/BCA/MCA in Statistics. Hands-on experience with Java and Kubernetes. Strong analytical thinking.","hr@company.com","0"
"Software Engineering Intern","Cisco India","We have an opening for a Software Engineering Intern in our R&D division. You will work on cutting-edge brand strategy projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Linux and PostgreSQL required.","₹8,000/month","B.Sc/M.Sc in Electronics. Research experience in Linux is preferred. Strong written and verbal communication.","hiring@company.com","0"
"Part-Time SMS Sending Job","AlphaHire Digital","LIMITED TIME OFFER: Paid internship with ₹45,000/month stipend. This opportunity won't come again! Apply before midnight today. Fee ₹1,500 for processing. Act fast!","₹45,000/month","Ability to use WhatsApp","Facebook Messenger","1"
"Social Media Promoter","CareerBoost Academy","Earn ₹100,000 per month working just 1 hour daily! Our AI-powered platform assigns tasks automatically. No skills required. Pay ₹299 for platform access and start earning today.","₹100,000/month","No skills required – training provided","Personal Gmail","1"
"Guaranteed Placement Intern","DigiWork India","Great opportunity for students! Earn ₹40,000/month. Work is simple and can be done on mobile phone. Pay ₹5,000 to join. We have placed 10000+ students in top companies.","₹40,000/month","No resume or interview needed","Telegram channel","1"
"Online Data Entry Operator","SmartEarn Technologies","LIMITED TIME OFFER: Paid internship with ₹40,000/month stipend. This opportunity won't come again! Apply before midnight today. Fee ₹1,500 for processing. Act fast!","₹40,000/month","Must share ID proof for verification","Call on personal mobile","1"
"Crypto Trading Intern","QuickHire Consultancy","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹45,000/month. No fixed salary but unlimited potential!","₹45,000/month","Anyone can apply","SMS only","1"
"Online Ad Posting Intern","BrightFuture Placements","FLASH HIRING: No interview, no resume needed. Just register with ₹299 and start earning ₹100,000/month from tomorrow. Verified by thousands of students. 100% safe!","₹100,000/month","Anyone can apply","Personal Gmail","1"
"Product Management Intern","DRDO","We are hiring a Product Management Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using AWS and Spring Boot. A strong portfolio demonstrating your design thinking process is required.","₹15,000/month","Graduate or postgraduate in Computer Science. Experience with AWS preferred. Ability to work in a team and meet deadlines.","hr@company.com","0"
"Product Management Intern","Meesho","Join us as a Product Management Intern and help build machine learning models for healthcare analytics. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with PostgreSQL, PyTorch, and deep learning frameworks is a plus.","₹22,000/month","B.Tech/M.Tech student in Data Science with knowledge of PostgreSQL, PyTorch, and Redis. CGPA 7.0 or above preferred.","recruitment@company.com","0"
"Online Reselling Business Intern","SmartEarn Technologies","Congratulations! You've been selected for our premium internship. Share your personal documents including Aadhaar, PAN, and passport photo via WhatsApp for immediate joining. Earn ₹30,000/month.","₹30,000/month","No experience needed","WhatsApp group link","1"
"Telegram Channel Manager","ZenithPlacement Services","We are hiring freshers for data entry work. Earn up to ₹45,000/month with just 2 hours of daily work. A refundable security deposit of ₹2,500 is required. Guaranteed income with no risk involved.","₹45,000/month","Must share ID proof for verification","Facebook Messenger","1"
"Social Media Promoter","ClickEarn Solutions","LIMITED TIME OFFER: Paid internship with ₹50,000/month stipend. This opportunity won't come again! Apply before midnight today. Fee ₹1,999 for processing. Act fast!","₹50,000/month","Basic English knowledge","Personal Gmail","1"
"DevOps Intern","Cisco India","Seeking a DevOps Intern for a 3-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Power BI and GraphQL in a fast-paced environment.","₹25,000/month","Pursuing B.Tech/BCA/MCA in Artificial Intelligence. Hands-on experience with Power BI and GraphQL. Strong analytical thinking.","hr@company.com","0"
"Data Science Intern","Qualcomm India","We are looking for a Data Science Intern to work on data analysis and visualization projects. You will use Tableau and Vue.js to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 4 months.","₹25,000/month","Currently pursuing B.Tech/B.E. in Design. Proficiency in Tableau and Vue.js. Good problem-solving skills.","Apply through campus placement cell","0"
"Guaranteed Placement Intern","ZenithPlacement Services","Congratulations! You've been selected for our premium internship. Share your personal documents including Aadhaar, PAN, and passport photo via WhatsApp for immediate joining. Earn ₹30,000/month.","₹30,000/month","Age 16 and above","WhatsApp/Telegram","1"
"Cloud Engineering Intern","Microsoft India","We are seeking a Cloud Engineering Intern for a 2-month internship in our Remote office. You will assist in enterprise SaaS, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹20,000/month","Pursuing B.Tech/BCA/MCA in Commerce. Hands-on experience with Angular and React Native. Strong analytical thinking.","Apply on AngelList","0"
"Product Management Intern","Uber India","As a Product Management Intern at Uber India, you will work on building scalable solutions using Redis and MongoDB. This is a 4-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹12,000/month","Graduate or postgraduate in Information Technology. Experience with Redis preferred. Ability to work in a team and meet deadlines.","LinkedIn application","0"
"Quick Money Online Intern","ProStart Global","Earn ₹30,000 per month working just 1 hour daily! Our AI-powered platform assigns tasks automatically. No skills required. Pay ₹199 for platform access and start earning today.","₹30,000/month","Ability to use WhatsApp","Facebook Messenger","1"
"Technical Writer Intern","Intel India","As a Technical Writer Intern at Intel India, you will work on building scalable solutions using GraphQL and AWS. This is a 4-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹14,000/month","Pursuing B.Tech/BCA/MCA in Mechanical Engineering. Hands-on experience with GraphQL and AWS. Strong analytical thinking.","Apply on AngelList","0"
"Machine Learning Intern","PhonePe","We are looking for a motivated Machine Learning Intern to join our engineering team for a 6-month internship. You will work on social media analytics projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in GCP and MongoDB are expected.","₹9,000/month","Any degree with strong aptitude for GCP and MongoDB. Portfolio or GitHub profile with relevant projects is a plus.","LinkedIn application","0"
"Telegram Channel Manager","FastTrack Careers","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹45,000/month. No fixed salary but unlimited potential!","₹45,000/month","Ability to use WhatsApp","WhatsApp/Telegram","1"
"Marketing Analytics Intern","Swiggy","We are looking for a Marketing Analytics Intern to work on data analysis and visualization projects. You will use scikit-learn and R to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 6 months.","₹5,000/month","Currently pursuing B.Tech/B.E. in Computer Science. Proficiency in scikit-learn and R. Good problem-solving skills.","Company official website","0"
"Survey Filling Executive","RapidGrowth Inc","Great opportunity for students! Earn ₹45,000/month. Work is simple and can be done on mobile phone. Pay ₹299 to join. We have placed 10000+ students in top companies.","₹45,000/month","Ability to use WhatsApp","Telegram group","1"
"Marketing Analytics Intern","Freshworks","Seeking a Marketing Analytics Intern for a 4-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Azure and Tableau in a fast-paced environment.","₹18,000/month","Any degree with strong aptitude for Azure and Tableau. Portfolio or GitHub profile with relevant projects is a plus.","Company official website","0"
"Mobile App Testing Intern (No Skills Needed)","AlphaHire Digital","LIMITED TIME OFFER: Paid internship with ₹30,000/month stipend. This opportunity won't come again! Apply before midnight today. Fee ₹299 for processing. Act fast!","₹30,000/month","Basic English knowledge","Facebook Messenger","1"
"Research Intern – NLP","Byju's","Join our Product team as a Research Intern – NLP. During this 3-month internship, you will design, develop, and test features for our recommendation engine. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹20,000/month","Final year or pre-final year student in Electrical Engineering. Must know Java and Kotlin. Excellent communication skills required.","careers@company.com","0"
"Blockchain Developer Intern","Unacademy","Join our Design team as a Blockchain Developer Intern. During this 6-month internship, you will design, develop, and test features for our internal tools. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹8,000/month","Pursuing B.Tech/BCA/MCA in Design. Hands-on experience with scikit-learn and Airflow. Strong analytical thinking.","LinkedIn application","0"
"Financial Analyst Intern","Wipro","Join our Analytics team as a Financial Analyst Intern. During this 4-month internship, you will design, develop, and test features for our recommendation engine. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹22,000/month","Engineering student with knowledge of Java, Flutter. Available for full-time internship of 3-6 months.","LinkedIn application","0"
"Online Reselling Business Intern","BrightFuture Placements","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹40,000/month. No fixed salary but unlimited potential!","₹40,000/month","Just need a smartphone","Send DM on Instagram","1"
"Human Resources Intern","Amazon India","As a Human Resources Intern at Amazon India, you will work on building scalable solutions using scikit-learn and Kotlin. This is a 4-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹16,000/month","B.Tech/M.Tech student in Electronics with knowledge of scikit-learn, Kotlin, and MongoDB. CGPA 7.0 or above preferred.","Apply on AngelList","0"
"Quick Money Online Intern","NextGen Opportunities","FLASH HIRING: No interview, no resume needed. Just register with ₹199 and start earning ₹75,000/month from tomorrow. Verified by thousands of students. 100% safe!","₹75,000/month","No skills required – training provided","Personal Gmail","1"
"IoT Intern","CRED","Join our Product team as a IoT Intern. During this 2-month internship, you will design, develop, and test features for our internal tools. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹12,000/month","Currently pursuing B.Tech/B.E. in Design. Proficiency in R and Excel. Good problem-solving skills.","careers@company.com","0"
"WhatsApp Marketing Intern","DigiWork India","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹45,000/month credited directly to your account.","₹45,000/month","Age 16 and above","Telegram channel","1"
"Backend Developer Intern","KPMG India","Join us as a Backend Developer Intern and help build machine learning models for e-commerce platforms. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with PyTorch, Excel, and deep learning frameworks is a plus.","₹15,000/month","Any degree with strong aptitude for PyTorch and Excel. Portfolio or GitHub profile with relevant projects is a plus.","talent@company.com","0"
"Quantitative Research Intern","Tata Steel","Looking for a Quantitative Research Intern to support our Finance team. The intern will help with healthcare analytics, coordinate with internal teams, and contribute to process improvements. Duration: 4 months with a monthly stipend.","₹25,000/month","Graduate or postgraduate in Mass Communication. Experience with Hadoop preferred. Ability to work in a team and meet deadlines.","Apply through campus placement cell","0"
"Online Reselling Business Intern","BrightFuture Placements","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹60,000/month. No fixed salary but unlimited potential!","₹60,000/month","Age 16 and above","Call on personal mobile","1"
"Software Engineering Intern","ISRO","Looking for a Software Engineering Intern to support our Product team. The intern will help with HR operations, coordinate with internal teams, and contribute to process improvements. Duration: 6 months with a monthly stipend.","₹8,000/month","Final year or pre-final year student in Commerce. Must know Linux and Go. Excellent communication skills required.","Apply via company careers portal","0"
"Online Ad Posting Intern","EarnMore India","Internship available. Work from home. Earn well. Contact us on WhatsApp for more details. Stipend ₹100,000/month. Small fee of ₹1,500 for registration. Hurry, spots filling fast!","₹100,000/month","Age 16 and above","WhatsApp only","1"
"Backend Developer Intern","Swiggy","We are seeking a Backend Developer Intern for a 4-month internship in our Kolkata office. You will assist in cloud infrastructure, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹5,000/month","Currently pursuing B.Tech/B.E. in Statistics. Proficiency in Hadoop and Redis. Good problem-solving skills.","hiring@company.com","0"
